pid,model,price,country_code,country,region,income group,scraped_date
9,Apple Watch SE,da € 309,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
10,Apple Watch Series 3,da € 229,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
11,Cinturino Sport,€ 49,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
12,iPad,da € 389,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
13,iPad Pro,da € 899,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
14,Apple Pencil (seconda generazione),€ 135,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
15,"iMac 24""²",da € 1.499,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
16,MacBook Air,da € 1.159,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
17,Magic Mouse,€ 85,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
0,iPhone 13,"À partir de 782,26 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
1,iPhone SE,"À partir de 472,83 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
2,iPhone 12,"À partir de 666,22 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
3,AirPods(3ᵉ génération),"192,42 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
4,AirPods Pro,"269,78 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
5,AirPods(2ᵉ génération),"144,07 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
6,Apple TV HD,"153,74 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
7,Apple TV 4K,"192,42 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
8,Apple Watch SE,"À partir de 289,12 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
9,Apple Watch Series 3,"À partir de 211,76 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
10,Bracelet Sport,"47,39 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
11,iPad,"À partir de 376,14 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
12,iPad Pro,"À partir de 869,29 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
13,Apple Pencil (2ᵉ génération),"130,54 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
14,iMac 24 pouces²,"À partir de 1 401,10 €",lu,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167
